Date,CDI
20140102,000000977                                                               
20140103,000000977                                                               
20140106,000000977                                                               
20140107,000000977                                                               
20140108,000000977                                                               
20140109,000000977                                                               
20140110,000000977                                                               
20140113,000000977                                                               
20140114,000000977                                                               
20140115,000000977                                                               
20140116,000001027                                                               
20140117,000001034                                                               
20140120,000001035                                                               
20140121,000001035                                                               
20140122,000001027                                                               
20140123,000001027                                                               
20140124,000001027                                                               
20140127,000001027                                                               
20140128,000001027                                                               
20140129,000001027                                                               
20140130,000001027                                                               
20140131,000001027                                                               
20140203,000001027                                                               
20140204,000001029                                                               
20140205,000001029                                                               
20140206,000001029                                                               
20140207,000001029                                                               
20140210,000001029                                                               
20140211,000001029                                                               
20140212,000001029                                                               
20140213,000001029                                                               
20140214,000001029                                                               
20140217,000001029                                                               
20140218,000001029                                                               
20140219,000001029                                                               
20140220,000001029                                                               
20140221,000001029                                                               
20140224,000001029                                                               
20140225,000001029                                                               
20140226,000001035                                                               
20140227,000001059                                                               
20140228,000001059                                                               
20140305,000001055                                                               
20140306,000001055                                                               
20140307,000001055                                                               
20140310,000001055                                                               
20140311,000001055                                                               
20140312,000001055                                                               
20140313,000001055                                                               
20140314,000001055                                                               
20140317,000001055                                                               
20140318,000001055                                                               
20140319,000001059                                                               
20140320,000001059                                                               
20140321,000001059                                                               
20140324,000001059                                                               
20140325,000001059                                                               
20140326,000001059                                                               
20140327,000001055                                                               
20140328,000001055                                                               
20140331,000001055                                                               
20140401,000001055                                                               
20140402,000001055                                                               
20140403,000001080                                                               
20140404,000001080                                                               
20140407,000001080                                                               
20140408,000001080                                                               
20140409,000001080                                                               
20140410,000001080                                                               
20140411,000001080                                                               
20140414,000001080                                                               
20140415,000001080                                                               
20140416,000001080                                                               
20140417,000001080                                                               
20140422,000001080                                                               
20140423,000001080                                                               
20140424,000001080                                                               
20140425,000001080                                                               
20140428,000001080                                                               
20140429,000001080                                                               
20140430,000001080                                                               
20140502,000001080                                                               
20140505,000001080                                                               
20140506,000001080                                                               
20140507,000001080                                                               
20140508,000001080                                                               
20140509,000001080                                                               
20140512,000001080                                                               
20140513,000001080                                                               
20140514,000001080                                                               
20140515,000001080                                                               
20140516,000001080                                                               
20140519,000001080                                                               
20140520,000001080                                                               
20140521,000001080                                                               
20140522,000001080                                                               
20140523,000001080                                                               
20140526,000001080                                                               
20140527,000001080                                                               
20140528,000001080                                                               
20140529,000001080                                                               
20140530,000001080                                                               
20140602,000001080                                                               
20140603,000001080                                                               
20140604,000001080                                                               
20140605,000001080                                                               
20140606,000001080                                                               
20140609,000001084                                                               
20140610,000001080                                                               
20140611,000001080                                                               
20140612,000001080                                                               
20140613,000001080                                                               
20140616,000001080                                                               
20140617,000001080                                                               
20140618,000001080                                                               
20140620,000001080                                                               
20140623,000001080                                                               
20140624,000001080                                                               
20140625,000001080                                                               
20140626,000001080                                                               
20140627,000001080                                                               
20140630,000001080                                                               
20140701,000001080                                                               
20140702,000001080                                                               
20140703,000001080                                                               
20140704,000001080                                                               
20140707,000001080                                                               
20140708,000001080                                                               
20140709,000001080                                                               
20140710,000001080                                                               
20140711,000001080                                                               
20140714,000001080                                                               
20140715,000001080                                                               
20140716,000001080                                                               
20140717,000001080                                                               
20140718,000001080                                                               
20140721,000001080                                                               
20140722,000001080                                                               
20140723,000001080                                                               
20140724,000001080                                                               
20140725,000001080                                                               
20140728,000001080                                                               
20140729,000001080                                                               
20140730,000001080                                                               
20140731,000001080                                                               
20140801,000001080                                                               
20140804,000001081                                                               
20140805,000001081                                                               
20140806,000001081                                                               
20140807,000001081                                                               
20140808,000001081                                                               
20140811,000001081                                                               
20140812,000001081                                                               
20140813,000001081                                                               
20140814,000001081                                                               
20140815,000001082                                                               
20140818,000001081                                                               
20140819,000001081                                                               
20140820,000001084                                                               
20140821,000001082                                                               
20140822,000001081                                                               
20140825,000001084                                                               
20140826,000001084                                                               
20140827,000001081                                                               
20140828,000001084                                                               
20140829,000001081                                                               
20140901,000001081                                                               
20140902,000001081                                                               
20140903,000001081                                                               
20140904,000001081                                                               
20140905,000001081                                                               
20140908,000001081                                                               
20140909,000001081                                                               
20140910,000001084                                                               
20140911,000001081                                                               
20140912,000001081                                                               
20140915,000001081                                                               
20140916,000001081                                                               
20140917,000001081                                                               
20140918,000001081                                                               
20140919,000001081                                                               
20140922,000001081                                                               
20140923,000001084                                                               
20140924,000001084                                                               
20140925,000001084                                                               
20140926,000001081                                                               
20140929,000001081                                                               
20140930,000001081                                                               
20141001,000001081                                                               
20141002,000001081                                                               
20141003,000001081                                                               
20141006,000001081                                                               
20141007,000001084                                                               
20141008,000001084                                                               
20141009,000001084                                                               
20141010,000001084                                                               
20141013,000001081                                                               
20141014,000001084                                                               
20141015,000001081                                                               
20141016,000001084                                                               
20141017,000001084                                                               
20141020,000001084                                                               
20141021,000001084                                                               
20141022,000001084                                                               
20141023,000001084                                                               
20141024,000001084                                                               
20141027,000001084                                                               
20141028,000001084                                                               
20141029,000001084                                                               
20141030,000001109                                                               
20141031,000001106                                                               
20141103,000001106                                                               
20141104,000001106                                                               
20141105,000001109                                                               
20141106,000001109                                                               
20141107,000001109                                                               
20141110,000001109                                                               
20141111,000001109                                                               
20141112,000001109                                                               
20141113,000001109                                                               
20141114,000001109                                                               
20141117,000001109                                                               
20141118,000001109                                                               
20141119,000001109                                                               
20141120,000001109                                                               
20141121,000001109                                                               
20141124,000001109                                                               
20141125,000001109                                                               
20141126,000001109                                                               
20141127,000001109                                                               
20141128,000001106                                                               
20141201,000001106                                                               
20141202,000001106                                                               
20141203,000001109                                                               
20141204,000001159                                                               
20141205,000001159                                                               
20141208,000001159                                                               
20141209,000001157                                                               
20141210,000001157                                                               
20141211,000001159                                                               
20141212,000001159                                                               
20141215,000001159                                                               
20141216,000001159                                                               
20141217,000001159                                                               
20141218,000001159                                                               
20141219,000001159                                                               
20141222,000001159                                                               
20141223,000001157                                                               
20141224,000001157                                                               
20141226,000001157                                                               
20141229,000001159                                                               
20141230,000001157                                                               
20141231,000001157                                                               
