Date,CDI
20120820,000000785                                                               
20120821,000000782                                                               
20120822,000000781                                                               
20120823,000000781                                                               
20120824,000000782                                                               
20120827,000000783                                                               
20120828,000000783                                                               
20120829,000000782                                                               
20120830,000000738                                                               
20120831,000000738                                                               
20120903,000000741                                                               
20120904,000000739                                                               
20120905,000000739                                                               
20120906,000000739                                                               
20120910,000000738                                                               
20120911,000000737                                                               
20120913,000000736                                                               
20120917,000000734                                                               
20120918,000000733                                                               
20120919,000000733                                                               
20120920,000000735                                                               
20120921,000000735                                                               
20120924,000000735                                                               
20120925,000000738                                                               
20120926,000000737                                                               
20120927,000000736                                                               
20120928,000000736                                                               
20121001,000000736                                                               
20121002,000000735                                                               
20121003,000000736                                                               
20121004,000000736                                                               
20121005,000000736                                                               
20121008,000000736                                                               
20121009,000000735                                                               
20121010,000000733                                                               
20121011,000000704                                                               
20121015,000000704                                                               
20121016,000000705                                                               
20121017,000000706                                                               
20121018,000000708                                                               
20121019,000000708                                                               
20121022,000000712                                                               
20121023,000000712                                                               
20121024,000000713                                                               
20121025,000000711                                                               
20121026,000000709                                                               
20121029,000000708                                                               
20121030,000000707                                                               
20121031,000000709                                                               
20121101,000000711                                                               
20121105,000000712                                                               
20121106,000000712                                                               
20121107,000000713                                                               
20121108,000000709                                                               
20121109,000000709                                                               
20121112,000000707                                                               
20121113,000000706                                                               
20121114,000000706                                                               
20121116,000000705                                                               
20121119,000000703                                                               
20121120,000000701                                                               
20121121,000000699                                                               
20121122,000000709                                                               
20121123,000000712                                                               
20121126,000000713                                                               
20121127,000000712                                                               
20121128,000000711                                                               
20121129,000000707                                                               
20121130,000000706                                                               
20121203,000000707                                                               
20121204,000000707                                                               
20121205,000000706                                                               
20121206,000000705                                                               
20121207,000000704                                                               
20121210,000000701                                                               
20121211,000000697                                                               
20121212,000000697                                                               
20121213,000000695                                                               
20121214,000000690                                                               
20121217,000000689                                                               
20121218,000000687                                                               
20121219,000000684                                                               
20121220,000000685                                                               
20121221,000000687                                                               
20121224,000000687                                                               
20121226,000000690                                                               
20121227,000000690                                                               
20121228,000000690                                                               
20121231,000000690                                                               
