Date,CDI
20160104,000001414                                                               
20160105,000001414                                                               
20160106,000001414                                                               
20160107,000001414                                                               
20160108,000001414                                                               
20160111,000001414                                                               
20160112,000001414                                                               
20160113,000001414                                                               
20160114,000001414                                                               
20160115,000001414                                                               
20160118,000001414                                                               
20160119,000001414                                                               
20160120,000001414                                                               
20160121,000001413                                                               
20160122,000001413                                                               
20160125,000001413                                                               
20160126,000001413                                                               
20160127,000001413                                                               
20160128,000001413                                                               
20160129,000001413                                                               
20160201,000001413                                                               
20160202,000001413                                                               
20160203,000001413                                                               
20160204,000001413                                                               
20160205,000001413                                                               
20160210,000001413                                                               
20160211,000001413                                                               
20160212,000001413                                                               
20160215,000001413                                                               
20160216,000001413                                                               
20160217,000001413                                                               
20160218,000001413                                                               
20160219,000001413                                                               
20160222,000001413                                                               
20160223,000001413                                                               
20160224,000001413                                                               
20160225,000001413                                                               
20160226,000001413                                                               
20160229,000001413                                                               
20160301,000001413                                                               
20160302,000001413                                                               
20160303,000001413                                                               
20160304,000001413                                                               
20160307,000001413                                                               
20160308,000001413                                                               
20160309,000001413                                                               
20160310,000001413                                                               
20160311,000001413                                                               
